doi,final_status,final_motivo
10.1016/j.isci.2023.107463,excluded,"Carcinoma nasofaríngeo via endoscopia nasal — domínio anatômico fora de endoscopia digestiva alta (cabeça/pescoço, não gástrico)."
10.1016/S1936-8798(23)01241-4,excluded,"'Full Issue PDF' de revista de cardiologia intervencionista — registro editorial sem conteúdo científico individual."
10.1016/j.gie.2020.03.006,excluded,"'Subject Index (By Abstract Number)' do Gastrointestinal Endoscopy — apenas índice editorial, sem conteúdo científico."
10.1136/annrheumdis-2024-eular.3652,excluded,"Pôster sobre miosite induzida por imunoterapia — domínio reumatológico, sem qualquer relação com endoscopia digestiva ou IA em imagem."
10.1016/S1878-7649(17)30179-1,excluded,"'Poster presentations' de geriatria — agregado editorial de pôsteres, sem trabalho específico em IA + endoscopia alta."
10.1016/S0016-5107(23)01281-6,excluded,"'Subject Index' do Gastrointestinal Endoscopy — apenas índice editorial."
10.1186/s13613-020-0623-7,excluded,"'Proceedings of Réanimation 2020' — anais de congresso de terapia intensiva, sem trabalho individual em IA + endoscopia alta."
10.1016/S2666-0849(23)00085-2,excluded,"'Full Issue PDF' de JACC: Case Reports — registro editorial."
10.1136/annrheumdis-2024-eular.3702,excluded,"Pôster reumatológico sobre triagem de malignidade em miopatias inflamatórias — sem componente de IA em imagem endoscópica."
10.1016/S0168-8278(21)80013-6,excluded,"'Papers read by title' do Journal of Hepatology — agregado editorial."
10.1016/j.igie.2025.07.002,excluded,"Editorial sobre endoscopia terapêutica em DII — opinião clínica, sem componente de IA / visão computacional."
10.1016/B978-0-12-818619-0.00216-1,excluded,"'Index' de capítulo de livro Molecular Medical Microbiology — apenas índice."
10.1016/j.bpg.2025.101978,included,"Revisão sobre triagem e vigilância de condições pré-malignas do estômago — útil como fundamentação clínica para a tese (atrofia, metaplasia, displasia gástrica), mesmo sem foco em IA."
10.1016/j.gie.2025.03.150,excluded,"'Subject Index' do Gastrointestinal Endoscopy — apenas índice."
10.1016/j.gie.2019.03.055,excluded,"'Subject Index (By Abstract Number)' do Gastrointestinal Endoscopy — apenas índice."
10.1016/S2666-0849(24)00845-3,excluded,"'Full Issue PDF' de JACC: Case Reports — registro editorial."
10.1038/s41374-020-0386-7,excluded,"'Abstracts from USCAP 2020: Gastrointestinal Pathology' — agregado de abstracts de patologia, sem trabalho individual de IA recuperável."
10.1016/j.gie.2024.04.2584,excluded,"'Subject Index' do Gastrointestinal Endoscopy — apenas índice."
10.1016/S2666-0849(26)00968-X,excluded,"'Full Issue PDF' de JACC: Case Reports — registro editorial."
10.1038/s41379-020-0470-y,excluded,"'Abstracts from USCAP 2020: Gastrointestinal Pathology' — agregado editorial."
10.1016/j.procs.2021.09.094,included,"Sistematização de princípios e métodos de medicina digital em oncologia — útil como referência metodológica de digitalização clínica e IA aplicada, complementar à fundamentação."
10.1016/j.gie.2018.04.1285,excluded,"'Subject Index (By Abstract Number)' do Gastrointestinal Endoscopy — apenas índice."
10.1007/s10784-025-09680-2,excluded,"Diplomacia climática EU/China na Ásia Central — política ambiental, totalmente fora do escopo. Falso positivo de string Brasil/LatAm Springer."
10.1007/s13762-025-06988-z,excluded,"Transições de sustentabilidade e pegada ecológica — economia ambiental, fora do escopo."
10.1007/s12672-025-02153-7,excluded,"Biomarcadores moleculares (CLDN9, miRNA) para câncer gástrico — biologia molecular não-invasiva, sem componente de imagem endoscópica nem IA visual."
10.1007/978-981-97-9120-0_5,excluded,"Energia distribuída zero-carbono em zonas rurais da China — fora do escopo."
10.1007/978-3-031-69162-1_1,excluded,"Priorização de alvos farmacológicos em bactérias patogênicas — biologia estrutural, fora do escopo."
10.1007/s10640-020-00493-2,excluded,"Economia ambiental em contexto da COVID-19 — fora do escopo."
10.1007/978-3-031-51220-9_1,excluded,"Cidades habitáveis e ilhas de calor urbano — urbanismo/sustentabilidade, fora do escopo."
10.1186/s12868-017-0372-1,excluded,"Anais de Computational Neuroscience Meeting 2017 — agregado editorial de neurociência computacional, sem trabalho individual em IA + endoscopia."
10.3760/cma.j.cn115330-20250725-00395,excluded,"Transfer learning em endoscopia nasofaríngea (NPC) — domínio anatômico fora de endoscopia digestiva alta."
10.1080/14737175.2026.2642838,excluded,"Endoscopia virtual 3D sintética para cirurgia de base de crânio — fora do escopo de endoscopia digestiva."
10.1109/TMI.2025.3558775,excluded,"Foundation model para carcinoma nasofaríngeo (NPC) — domínio anatômico fora de endoscopia digestiva alta."
10.1145/3748382.3748390,excluded,"Geração de relatórios de endoscopia nasofaríngea — fora do escopo de endoscopia digestiva alta."
