bibtex_key_original,final_status,final_motivo
7493282,included,"NBI vs white-light para CAD de doença celíaca em endoscopia alta — relevante por abordar modalidade de iluminação em endoscopia digestiva, útil para discussão de artefatos/qualidade de imagem."
10472340,included,"MLMSA — atenção multi-escala para detecção de lesões em endoscopia; contribuição metodológica (mecanismo de atenção multi-nível) aplicável ao pipeline de classificação multilabel."
11200389,included,"Segmentação automática de metaplasia em sistema de suporte à decisão endoscópica — metaplasia intestinal é achado gástrico relevante; útil para fundamentação clínica e comparação."
11370611,excluded,"Medição 3D para endoscópios binoculares — foco em reconstrução geométrica, não em classificação/detecção de patologias; fora do escopo metodológico."
10373417,excluded,"Geração de vídeos sintéticos de endoscopia (screening protocol) — foco em síntese de dados; sem pipeline de classificação/detecção de patologia."
10373486,included,"Identificação de anormalidades em imagens endoscópicas do trato digestivo (Costa Filho et al., SIPAIM 2023) — grupo brasileiro, diretamente relacionado ao problema multilabel/multiclasse da tese."
9926791,included,"Classificação de imagens de cápsula endoscópica com Visual Transformers (grupo brasileiro UFMA — de Paiva et al.) — referência brasileira direta em ViT para endoscopia."
11298216,excluded,"Endoscopia endonasal de base do crânio (neurocirurgia) — domínio anatômico fora de endoscopia digestiva alta."
883900,excluded,"Reconstrução 3D por shape-from-shading (2000) — sem DL/CV moderno, sem classificação de patologia."
6820756,excluded,"Validação de técnicas ópticas para reconstrução 3D laparoscópica — sem componente de classificação/detecção de patologia."
10635152,excluded,"Calibração de câmera para cirurgia torácica videoassistida — fora do trato GI."
10385358,excluded,"Detecção de cáries em imagens endoscópicas dentárias — fora do trato GI alto."
4408982,excluded,"3D reconstruction com structured light — sem DL/CV para classificação de patologia."
4409128,excluded,"Mosaicos de superfícies retificadas — reconstrução geométrica, sem classificação de patologia."
4409111,excluded,"Mosaicing deformável para biópsia óptica (confocal/colon) — reconstrução sem classificação de patologia gástrica."
Rao2020299,excluded,"Preditores clínicos de mortalidade em sangramento GI alto (UTI) — estudo clínico-estatístico, sem componente de visão computacional."
Carrascosa2006261,excluded,"Gastroscopia virtual por CT (2006) — uso de tomografia, não de imagens endoscópicas ópticas; fora do pipeline."
Hunt2021431,excluded,"Estudo CLARA — microendoscopia cervical ginecológica no Brasil — endoscopia cervical, não digestiva alta."
Hofmann20068P,excluded,"Sistema óptico estereoscópico para medir geometria de soldas em tubos — aplicação industrial, não médica."
Lewandrowski2023,excluded,"Editorial sobre educação pós-graduada em ortopedia/neurocirurgia — fora do escopo."
Liu20242879,excluded,"Câmera bioinspirada com olho composto computacional — hardware/óptica geral, sem aplicação gástrica."
WOS:001638881700001,included,"Editorial 'Beyond Detection: AI in Gastric Endoscopy' (Digestive Endoscopy 2025) — perspectiva recente sobre IA em endoscopia gástrica; útil para introdução/discussão mesmo sem abstract."
WOS:000397260205148,included,"Detecção de reflexos especulares em imagens gastroscópicas — trata diretamente de artefato de imagem (reflexo) em gastroscopia; relevante para a trilha de artefatos do projeto."
WOS:000556699600006,excluded,"Cápsula endoscópica com controle magnético e leitura automatizada — foco em hardware/ação magnética, pouco vínculo com classificação/detecção."
WOS:001450689900001,included,"MAPS III guideline (ESGE/EHMSG/ESP 2025) sobre condições precancerosas gástricas — referência clínica de primeira linha para definição de achados e classes."
WOS:000986193100001,excluded,"Protocolo de ensaio clínico (trial protocol) — sem resultados experimentais/metodológicos de IA ainda."
WOS:000868962700001,excluded,"Estudo epidemiológico sobre taxa de câncer pós-endoscopia — sem componente de IA/visão computacional."
WOS:000799996600001,included,"Indicadores de qualidade em EGD (Clinical Endoscopy 2022) — referência direta para qualidade de imagem / protocolo de screening, relevante para a trilha de qualidade."
WOS:001519369100001,included,"Position statements da JGES sobre IA em endoscopia gastrointestinal (2025) — referência consensual sobre IA em GI; útil para introdução e discussão ética/metodológica."
WOS:000584344000006,excluded,"Duplicata semântica de Rao2020299 (Scopus) — estudo clínico, sem IA. Já excluído acima."
WOS:000760338500002,excluded,"Serviços dedicados a Barrett's — estudo de organização assistencial, sem IA."
WOS:001461214900042,included,"Ensaio randomizado multicêntrico de dispositivo endoscópico inteligente para detecção de neoplasia gástrica (Lancet Regional Health 2025) — referência de topo para validação clínica de IA; incluir mesmo sem abstract."
WOS:001206233700001,excluded,"Duplicata de Liu20242879 (Scopus S4) — câmera bioinspirada. Já excluído acima."
WOS:001013496200001,excluded,"Duplicata de Lewandrowski2023 (Scopus S4) — editorial ortopédico. Já excluído acima."
WOS:000659487101031,included,"Detecção de câncer gástrico precoce com SSD + feature enhancement (2020) — trabalho de detecção em endoscopia digestiva alta, relevante para benchmark."
